playerID,yearID,SorR,stint,teamID,lgID,W,L,G,GS,GSPct,IPouts,IP,H,ER,HR,BB,WHIP,SO,SOPer9IP,ERA,R
adamsba01,1920,starter,1,PIT,NL,17,13,35,33,94.28571429,789,263,240,63,6,18,0.98,84,2.87,2.16,83
burwebi01,1920,reliever,1,SLA,AL,6,4,33,2,6.060606061,340,113.3333333,133,46,5,42,1.54,30,2.38,3.65,55
bushjo01,1920,starter,1,BOS,AL,15,15,35,32,91.42857143,731,243.6666667,287,115,3,94,1.56,88,3.25,4.25,138
caldwra02,1920,starter,1,CLE,AL,20,10,34,33,97.05882353,713,237.6666667,286,102,9,63,1.47,80,3.03,3.86,135
cicoted01,1920,starter,1,CHA,AL,21,10,37,35,94.59459459,910,303.3333333,316,110,6,74,1.29,87,2.58,3.26,128
covelst01,1920,starter,1,CLE,AL,24,14,41,38,92.68292683,945,315,284,87,6,65,1.11,133,3.80,2.49,110
doakbi01,1920,starter,1,SLN,NL,20,12,39,37,94.87179487,810,270,256,76,7,80,1.24,90,3.00,2.53,94
enzmajo01,1920,reliever,1,PHI,NL,2,3,16,1,6.25,176,58.66666667,79,25,1,16,1.62,35,5.37,3.84,40
faberre01,1920,starter,1,CHA,AL,23,13,40,39,97.5,957,319,332,106,8,88,1.32,108,3.05,2.99,136
karrbe01,1920,reliever,1,BOS,AL,3,8,26,2,7.692307692,275,91.66666667,109,49,3,24,1.45,21,2.06,4.81,55
leonadu01,1920,starter,1,DET,AL,10,17,28,27,96.42857143,574,191.3333333,192,92,8,63,1.33,76,3.57,4.33,107
marquru01,1920,starter,1,BRO,NL,10,7,28,26,92.85714286,569,189.6666667,181,68,5,35,1.14,89,4.22,3.23,83
meadole01,1920,starter,1,PHI,NL,16,14,35,33,94.28571429,741,247,249,78,5,90,1.37,95,3.46,2.84,104
pfeffje01,1920,starter,1,BRO,NL,16,9,30,28,93.33333333,645,215,225,72,5,45,1.26,80,3.35,3.01,81
schupfe01,1920,starter,1,SLN,NL,16,13,38,37,97.36842105,752,250.6666667,246,98,5,127,1.49,119,4.27,3.52,118
tylerle01,1920,starter,1,CHN,NL,11,12,27,27,100,579,193,193,71,6,57,1.3,57,2.66,3.31,83
vaughhi01,1920,starter,1,CHN,NL,19,16,40,38,95,903,301,301,85,8,81,1.27,131,3.92,2.54,113
willile01,1920,starter,1,CHA,AL,22,14,39,38,97.43589744,897,299,302,130,15,90,1.31,128,3.85,3.91,145
alexape01,1921,starter,1,CHN,NL,15,13,31,29,93.5483871,756,252,286,95,10,33,1.27,77,2.75,3.39,110
bettshu01,1921,reliever,1,PHI,NL,3,7,32,2,6.25,302,100.6666667,141,50,8,14,1.54,28,2.50,4.47,65
burwebi01,1921,reliever,1,SLA,AL,2,4,33,3,9.090909091,253,84.33333333,102,48,2,29,1.55,17,1.81,5.12,62
coopewi01,1921,starter,1,PIT,NL,22,14,38,38,100,981,327,341,118,9,80,1.29,134,3.69,3.25,145
covelst01,1921,starter,1,CLE,AL,23,13,43,40,93.02325581,945,315,341,118,6,84,1.35,99,2.83,3.37,137
davisdi01,1921,starter,1,SLA,AL,16,16,40,36,90,796,265.3333333,279,131,12,123,1.52,100,3.39,4.44,150
faberre01,1921,starter,1,CHA,AL,25,15,43,39,90.69767442,992,330.6666667,293,91,10,87,1.15,124,3.37,2.48,107
grimebu01,1921,starter,1,BRO,NL,22,13,37,35,94.59459459,907,302.3333333,313,95,6,76,1.29,136,4.05,2.83,120
johnswa01,1921,starter,1,WS1,AL,17,14,35,32,91.42857143,792,264,265,103,7,92,1.35,143,4.88,3.51,122
jonespe01,1921,reliever,1,CHN,NL,3,5,32,3,9.375,296,98.66666667,116,50,2,39,1.57,46,4.20,4.56,57
jonessa01,1921,starter,1,BOS,AL,23,16,40,38,95,896,298.6666667,318,107,1,78,1.33,98,2.95,3.22,122
meadole01,1921,starter,1,PHI,NL,11,16,28,27,96.42857143,583,194.3333333,226,93,10,62,1.48,52,2.41,4.31,118
mogrige01,1921,starter,1,WS1,AL,18,14,38,36,94.73684211,864,288,301,96,12,66,1.27,101,3.16,3,119
northlo01,1921,reliever,1,SLN,NL,4,4,40,0,0,259,86.33333333,81,34,5,32,1.31,28,2.92,3.54,39
pennohe01,1921,starter,1,BOS,AL,12,14,32,32,100,668,222.6666667,268,100,7,59,1.47,91,3.68,4.04,121
rixeyep01,1921,starter,1,CIN,NL,19,18,40,36,90,903,301,324,93,1,66,1.3,76,2.27,2.78,128
sallesl01,1921,reliever,1,NY1,NL,6,4,37,0,0,289,96.33333333,115,39,7,14,1.34,23,2.15,3.64,48
aldrivi01,1922,starter,1,CHN,NL,16,15,36,34,94.44444444,775,258.3333333,287,101,14,56,1.33,66,2.30,3.52,129
alexape01,1922,starter,1,CHN,NL,16,13,33,31,93.93939394,737,245.6666667,283,99,8,34,1.29,48,1.76,3.63,111
barfocl01,1922,reliever,1,SLN,NL,4,5,42,2,4.761904762,353,117.6666667,139,55,2,30,1.44,19,1.45,4.21,75
causere01,1922,reliever,1,NY1,NL,4,3,24,2,8.333333333,212,70.66666667,69,25,2,34,1.46,13,1.66,3.18,34
colliri01,1922,starter,1,BOS,AL,14,11,32,29,90.625,632,210.6666667,219,88,4,103,1.53,69,2.95,3.76,101
coopewi01,1922,starter,1,PIT,NL,23,14,41,37,90.24390244,884,294.6666667,330,104,13,61,1.33,129,3.94,3.18,130
covelst01,1922,starter,1,CLE,AL,17,14,35,33,94.28571429,830,276.6666667,292,102,14,64,1.29,98,3.19,3.32,120
davisdi01,1922,starter,1,SLA,AL,11,6,25,25,100,523,174.3333333,162,79,10,87,1.43,65,3.36,4.08,91
decatar01,1922,reliever,1,BRO,NL,3,4,29,2,6.896551724,263,87.66666667,87,27,3,29,1.32,31,3.18,2.77,31
donohpe01,1922,starter,1,CIN,NL,18,9,33,30,90.90909091,726,242,257,84,7,43,1.24,66,2.45,3.12,110
eckerch01,1922,reliever,1,PHA,AL,0,2,21,0,0,150,50,61,26,7,23,1.68,15,2.70,4.68,33
fullecu01,1922,reliever,1,BOS,AL,1,4,31,3,9.677419355,193,64.33333333,70,39,4,35,1.63,17,2.38,5.46,40
grimebu01,1922,starter,1,BRO,NL,17,14,36,34,94.44444444,777,259,324,137,17,84,1.58,99,3.44,4.76,157
hastybo01,1922,starter,1,PHA,AL,9,14,28,26,92.85714286,577,192.3333333,225,91,20,41,1.38,33,1.54,4.26,110
jonnacl01,1922,reliever,1,NY1,NL,6,1,33,0,0,288,96,96,41,7,28,1.29,44,4.13,3.84,45
meadole01,1922,starter,1,PHI,NL,12,18,33,33,100,711,237,264,106,8,71,1.41,62,2.35,4.03,127
mogrige01,1922,starter,1,WS1,AL,18,13,34,32,94.11764706,755,251.6666667,300,100,12,72,1.48,61,2.18,3.58,120
murrage01,1922,reliever,1,NYA,AL,4,2,22,2,9.090909091,170,56.66666667,53,25,0,26,1.39,14,2.22,3.97,27
nehfar01,1922,starter,1,NY1,NL,19,13,37,35,94.59459459,805,268.3333333,286,98,15,64,1.3,60,2.01,3.29,122
pillehe01,1922,starter,1,DET,AL,19,12,40,37,92.5,824,274.6666667,270,87,6,95,1.33,71,2.33,2.85,110
rixeyep01,1922,starter,1,CIN,NL,25,13,40,38,95,940,313.3333333,337,123,13,45,1.22,80,2.30,3.53,146
roberch01,1922,starter,1,CHA,AL,14,15,37,34,91.89189189,816,272,294,110,9,89,1.41,83,2.75,3.64,124
ruethdu01,1922,starter,1,BRO,NL,21,12,35,35,100,802,267.3333333,290,105,11,92,1.43,89,3.00,3.53,123
sulliji02,1922,reliever,1,PHA,AL,0,2,20,2,10,154,51.33333333,76,31,3,25,1.97,15,2.63,5.44,43
aldrivi01,1923,starter,1,CHN,NL,16,9,30,30,100,651,217,209,84,17,67,1.27,64,2.65,3.48,101
alexape01,1923,starter,1,CHN,NL,22,12,39,36,92.30769231,915,305,308,108,17,30,1.11,72,2.12,3.19,128
barfocl01,1923,reliever,1,SLN,NL,3,3,33,2,6.060606061,304,101.3333333,112,42,7,27,1.37,23,2.04,3.73,49
barnevi01,1923,reliever,1,NY1,NL,2,3,22,2,9.090909091,159,53,59,23,2,19,1.47,6,1.02,3.91,31
coopewi01,1923,starter,1,PIT,NL,17,19,39,38,97.43589744,884,294.6666667,331,117,11,71,1.36,77,2.35,3.57,136
covelst01,1923,starter,1,CLE,AL,13,14,33,31,93.93939394,684,228,251,70,8,42,1.29,54,2.13,2.76,98
ehmkeho01,1923,starter,1,BOS,AL,20,17,43,39,90.69767442,950,316.6666667,318,133,12,119,1.38,121,3.44,3.78,155
faberre01,1923,starter,1,CHA,AL,14,11,32,31,96.875,697,232.3333333,233,88,6,62,1.27,91,3.53,3.41,114
fussefr01,1923,reliever,1,CHN,NL,3,5,28,2,7.142857143,229,76.33333333,90,47,2,31,1.59,38,4.48,5.54,51
grimebu01,1923,starter,1,BRO,NL,21,18,39,38,97.43589744,981,327,356,130,9,100,1.39,119,3.28,3.58,165
haineje01,1923,starter,1,SLN,NL,20,13,37,36,97.2972973,798,266,283,92,7,75,1.35,73,2.47,3.11,125
jonnacl01,1923,reliever,1,NY1,NL,4,3,45,1,2.222222222,288,96,105,35,6,35,1.46,45,4.22,3.28,45
luquedo01,1923,starter,1,CIN,NL,27,8,41,37,90.24390244,966,322,279,69,2,88,1.14,151,4.22,1.93,90
mogrige01,1923,starter,1,WS1,AL,13,13,33,30,90.90909091,633,211,228,73,10,56,1.35,62,2.64,3.11,90
northlo01,1923,reliever,1,SLN,NL,3,4,34,3,8.823529412,215,71.66666667,90,41,8,31,1.69,24,3.01,5.15,50
